group,system,display_label,curve_id,color_hex,marker,alpha,K_alpha_A2_ps_minus_alpha,alpha_fit_r2,fit_tau_min_ps,fit_tau_max_ps,record_type,time_ps,OPA_COM_x_A,OPA_COM_y_A,OPA_COM_z_A,OPA_displacement_from_t0_A,lag_ps,TAMSD_A2,TAMSD_powerlaw_fit_A2,in_alpha_fit_window
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,5.5,25.375988639328952,23.893048781431023,30.47887647821349,3.719740939585818,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,5.6,25.551898693261016,23.86525669390237,30.34512274365441,3.623490661032948,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,5.7,25.64949930061624,23.935274937005516,30.70341369360061,3.9827065616393096,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,5.8,25.609571495079003,23.99678724625257,30.992893664717823,4.251395999094334,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,5.9,25.690302010987555,24.098691124480226,30.991570361292077,4.25804160600947,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,6.0,25.844748608997406,24.11946402399862,30.984615900715124,4.284020596128254,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,6.1,25.12532954306588,24.071436465004197,31.654710395473067,4.842356181404367,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,6.2,24.741243598218706,23.9012200398864,31.66686825152178,4.859448654728107,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,6.3,24.89077348898294,23.35679795635996,31.8521632325945,5.122724016650266,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,6.4,25.376909198222773,23.20669662955206,31.87648328730281,5.206874602240717,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,6.5,25.255477372688706,23.42357479225007,31.74243138015,5.020077360393239,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,6.6,25.04499976173413,23.489578172167214,31.871079292843056,5.121047924902371,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,6.7,25.205103281318333,23.34645073909645,31.63733655234504,4.928573627702007,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,6.8,25.211549030341207,23.70479622098441,31.75041295438572,4.979133233541043,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,6.9,25.128759127123104,23.746749056287797,31.523153857066067,4.743057359449201,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,7.0,25.028535556070256,23.55768986030404,31.382122829525063,4.6274375123337785,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,7.1,25.00730616014173,23.447324784158628,31.37621736667572,4.64138131665253,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,7.2,24.86900614576736,23.304202256384123,31.424182890265147,4.715306135547992,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,7.3,24.64579808878563,23.516798379952057,31.493928511705427,4.743801796922295,,,,False
